City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Crime_Index
National Park,2934.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,31.0,2.0,0.0,238.58214042263123
Neptune City,4694.0,10.0,0.0,1.0,1.0,8.0,141.0,9.0,130.0,2.0,0.0,643.3745206646784
Neptune Township,27825.0,106.0,2.0,4.0,24.0,76.0,851.0,92.0,749.0,10.0,3.0,688.9487870619947
Netcong,3182.0,3.0,0.0,2.0,1.0,0.0,14.0,1.0,12.0,1.0,0.0,106.85103708359522
Newark,282258.0,2069.0,75.0,150.0,689.0,1155.0,5674.0,832.0,2827.0,2015.0,38.0,549.9932685698899
New Brunswick,56577.0,309.0,2.0,30.0,142.0,135.0,1210.0,230.0,907.0,73.0,6.0,538.0278204924263
Newfield,1535.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,11.0,1.0,0.0,182.41042345276873
New Hanover Township,7504.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.330490405117271
New Milford,16701.0,5.0,0.0,1.0,0.0,4.0,52.0,11.0,39.0,2.0,1.0,68.8581522064547
New Providence,13283.0,0.0,0.0,0.0,0.0,0.0,65.0,7.0,53.0,5.0,0.0,97.86945720093352
Newton,7824.0,11.0,0.0,0.0,1.0,10.0,81.0,8.0,72.0,1.0,1.0,236.4519427402863
North Arlington,15868.0,5.0,0.0,0.0,2.0,3.0,148.0,9.0,120.0,19.0,0.0,192.8409377363247
North Bergen Township,63166.0,98.0,0.0,19.0,27.0,52.0,435.0,70.0,302.0,63.0,0.0,168.76167558496658
North Brunswick Township,42205.0,53.0,0.0,5.0,24.0,24.0,683.0,90.0,562.0,31.0,0.0,348.7738419618529
North Caldwell,6716.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,12.0,2.0,0.0,41.69148302561048
Northfield,8324.0,8.0,0.0,0.0,2.0,6.0,78.0,29.0,47.0,2.0,0.0,206.63142719846226
North Haledon,8469.0,3.0,0.0,1.0,1.0,1.0,32.0,6.0,26.0,0.0,0.0,82.65438658637385
North Hanover Township,7518.0,6.0,0.0,0.0,0.0,6.0,22.0,5.0,17.0,0.0,0.0,74.487895716946
North Plainfield,21834.0,39.0,1.0,7.0,18.0,13.0,338.0,54.0,272.0,12.0,0.0,345.33296693230744
Northvale,4965.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,5.0,0.0,0.0,28.197381671701912
North Wildwood,3816.0,13.0,0.0,2.0,1.0,10.0,167.0,23.0,144.0,0.0,0.0,943.3962264150944
Norwood,5836.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,14.0,1.0,0.0,51.40507196710075
Nutley Township,28596.0,27.0,0.0,2.0,4.0,21.0,197.0,27.0,149.0,21.0,0.0,156.6652678696321
Oakland,13102.0,7.0,0.0,0.0,0.0,7.0,48.0,4.0,44.0,0.0,0.0,83.95664784002442
Oaklyn,3934.0,10.0,0.0,0.0,5.0,5.0,140.0,37.0,99.0,4.0,0.0,762.5826131164209
Ocean City,11138.0,5.0,0.0,0.0,0.0,5.0,283.0,33.0,249.0,1.0,0.0,517.148500628479
Ocean Gate,2001.0,1.0,0.0,0.0,0.0,1.0,30.0,8.0,22.0,0.0,0.0,309.84507746126934
Oceanport,5742.0,4.0,0.0,0.0,0.0,4.0,47.0,11.0,33.0,3.0,0.0,177.63845350052247
"Ocean Township, Monmouth County",26947.0,20.0,0.0,1.0,8.0,11.0,586.0,66.0,505.0,15.0,1.0,450.14287304709245
"Ocean Township, Ocean County",9045.0,1.0,0.0,0.0,1.0,0.0,54.0,8.0,45.0,1.0,0.0,121.61415146489773
Ogdensburg,2262.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,35.36693191865606
Old Bridge Township,66321.0,28.0,0.0,1.0,12.0,15.0,490.0,49.0,393.0,48.0,0.0,156.20994858340495
Old Tappan,5998.0,1.0,0.0,0.0,0.0,1.0,22.0,2.0,12.0,8.0,0.0,76.69223074358119
Oradell,8243.0,6.0,0.0,4.0,0.0,2.0,25.0,4.0,18.0,3.0,0.0,75.21533422297706
Orange City,30449.0,226.0,6.0,10.0,154.0,56.0,772.0,188.0,411.0,173.0,4.0,656.8360208873855
Oxford Township,2446.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,9.0,1.0,0.0,98.11937857726902
Palisades Park,20888.0,17.0,0.0,1.0,10.0,6.0,130.0,34.0,80.0,16.0,0.0,140.75067024128688
Palmyra,7198.0,12.0,0.0,3.0,1.0,8.0,152.0,16.0,130.0,6.0,0.0,455.6821339260906
Paramus,26744.0,24.0,0.0,3.0,12.0,9.0,1067.0,24.0,1015.0,28.0,0.0,815.8839365839067
Park Ridge,8858.0,3.0,0.0,0.0,0.0,3.0,15.0,6.0,9.0,0.0,0.0,40.641228268232105
Parsippany-Troy Hills Township,52447.0,29.0,1.0,4.0,6.0,18.0,362.0,53.0,279.0,30.0,0.0,149.1029038839209
Passaic,70435.0,406.0,1.0,7.0,167.0,231.0,1298.0,170.0,943.0,185.0,5.0,484.56023283878756
Paterson,146893.0,1076.0,13.0,49.0,532.0,482.0,3564.0,797.0,2326.0,441.0,8.0,632.2969780724745
Paulsboro,5812.0,16.0,2.0,0.0,8.0,6.0,196.0,59.0,128.0,9.0,0.0,729.5251204404681
Peapack-Gladstone,2588.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,9.0,0.0,0.0,146.83153013910353
Pemberton Borough,1331.0,2.0,0.0,0.0,2.0,0.0,28.0,2.0,24.0,2.0,0.0,450.78888054094665
Pemberton Township,27212.0,90.0,1.0,0.0,25.0,64.0,547.0,215.0,304.0,28.0,2.0,468.91077465823906
Pennington,2554.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,46.98512137823023
Pennsauken Township,35420.0,101.0,0.0,5.0,41.0,55.0,909.0,298.0,564.0,47.0,2.0,570.8639186900057
Penns Grove,4790.0,33.0,3.0,4.0,8.0,18.0,180.0,36.0,135.0,9.0,3.0,895.6158663883091
Pennsville Township,12378.0,6.0,0.0,1.0,0.0,5.0,236.0,21.0,209.0,6.0,1.0,391.8242042333172
Pequannock Township,15177.0,3.0,0.0,0.0,0.0,3.0,93.0,17.0,72.0,4.0,0.0,126.50721486459776
Perth Amboy,52347.0,165.0,1.0,0.0,53.0,111.0,721.0,126.0,530.0,65.0,1.0,338.7013582440254
Phillipsburg,14395.0,44.0,0.0,12.0,15.0,17.0,295.0,56.0,230.0,9.0,3.0,473.08093087877734
Pine Beach,2148.0,2.0,0.0,1.0,1.0,0.0,21.0,4.0,17.0,0.0,0.0,214.15270018621976
Pine Hill,10431.0,25.0,0.0,0.0,9.0,16.0,162.0,45.0,114.0,3.0,3.0,361.42268238903273
Pine Valley,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piscataway Township,57342.0,54.0,0.0,6.0,18.0,30.0,425.0,70.0,320.0,35.0,1.0,167.24216106867567
Pitman,8696.0,4.0,1.0,0.0,1.0,2.0,48.0,9.0,38.0,1.0,0.0,119.59521619135235
Plainfield,50820.0,195.0,5.0,4.0,99.0,87.0,820.0,141.0,597.0,82.0,9.0,401.219992129083
Plainsboro Township,23243.0,10.0,0.0,0.0,0.0,10.0,118.0,12.0,102.0,4.0,0.0,110.14068751882287
Pleasantville,20799.0,92.0,1.0,19.0,33.0,39.0,306.0,99.0,195.0,12.0,3.0,384.15308428289825
Plumsted Township,8460.0,1.0,0.0,0.0,0.0,1.0,53.0,22.0,28.0,3.0,0.0,127.6595744680851
Pohatcong Township,3217.0,1.0,0.0,0.0,1.0,0.0,146.0,5.0,140.0,1.0,0.0,913.8949331675474
Point Pleasant,18474.0,14.0,0.0,0.0,2.0,12.0,115.0,22.0,92.0,1.0,0.0,139.65573238064306
Point Pleasant Beach,4472.0,3.0,0.0,0.0,0.0,3.0,64.0,5.0,59.0,0.0,0.0,299.6422182468694
Pompton Lakes,11062.0,15.0,0.0,0.0,0.0,15.0,89.0,24.0,62.0,3.0,0.0,188.03109745073223
Princeton,31856.0,11.0,0.0,0.0,3.0,8.0,224.0,43.0,169.0,12.0,2.0,148.16675037669512
Prospect Park,5893.0,5.0,0.0,1.0,3.0,1.0,95.0,17.0,66.0,12.0,0.0,339.38571186153064
Rahway,30113.0,34.0,0.0,4.0,9.0,21.0,245.0,44.0,163.0,38.0,1.0,185.63411151329993
Ramsey,15126.0,2.0,0.0,0.0,0.0,2.0,106.0,8.0,96.0,2.0,1.0,143.46158931640883
Randolph Township,25552.0,2.0,0.0,0.0,0.0,2.0,128.0,14.0,106.0,8.0,0.0,101.75328741390106
Raritan,8098.0,1.0,0.0,0.0,0.0,1.0,59.0,5.0,54.0,0.0,0.0,148.18473697209186
Raritan Township,22092.0,5.0,0.0,0.0,2.0,3.0,95.0,8.0,84.0,3.0,1.0,90.98316132536664
Readington Township,15941.0,2.0,1.0,0.0,0.0,1.0,82.0,16.0,60.0,6.0,0.0,105.38862053823475
Red Bank,12128.0,21.0,1.0,0.0,6.0,14.0,162.0,14.0,139.0,9.0,0.0,301.7810026385224
Ridgefield,11329.0,3.0,0.0,0.0,1.0,2.0,68.0,7.0,57.0,4.0,0.0,125.34204254567922
Ridgefield Park,13028.0,13.0,0.0,0.0,2.0,11.0,99.0,9.0,88.0,2.0,0.0,171.93736567393307
Ridgewood,25429.0,5.0,0.0,1.0,0.0,4.0,155.0,22.0,130.0,3.0,0.0,125.84057572063392
Ringwood,12303.0,6.0,0.0,1.0,0.0,5.0,48.0,15.0,29.0,4.0,0.0,87.78346744696415
Riverdale,4293.0,0.0,0.0,0.0,0.0,0.0,93.0,5.0,85.0,3.0,0.0,433.26345213137665
River Edge,11611.0,0.0,0.0,0.0,0.0,0.0,64.0,6.0,56.0,2.0,0.0,110.24028938075962
Riverside Township,7875.0,7.0,0.0,0.0,1.0,6.0,15.0,8.0,6.0,1.0,0.0,55.873015873015866
Riverton,2698.0,2.0,0.0,0.0,0.0,2.0,35.0,4.0,30.0,1.0,0.0,274.2772424017791
River Vale Township,10157.0,1.0,0.0,0.0,0.0,1.0,24.0,2.0,19.0,3.0,1.0,50.21167667618391
Robbinsville Township,14710.0,2.0,1.0,0.0,1.0,0.0,59.0,10.0,47.0,2.0,0.0,82.93677770224336
Rochelle Park Township,5648.0,1.0,0.0,0.0,1.0,0.0,73.0,8.0,62.0,3.0,0.0,262.0396600566572
Rockaway,6388.0,0.0,0.0,0.0,0.0,0.0,54.0,5.0,48.0,1.0,0.0,169.0670006261741
Rockaway Township,25328.0,6.0,0.0,0.0,3.0,3.0,294.0,14.0,269.0,11.0,0.0,236.8919772583702
Rockleigh,526.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.02281368821293
Roseland,5867.0,1.0,0.0,0.0,0.0,1.0,31.0,6.0,19.0,6.0,0.0,109.08471109596046
Roselle,21787.0,45.0,0.0,0.0,14.0,31.0,281.0,53.0,203.0,25.0,1.0,299.720016523615
Roselle Park,13698.0,5.0,0.0,0.0,4.0,1.0,104.0,6.0,91.0,7.0,0.0,159.14732077675572
Roxbury Township,23010.0,1.0,0.0,1.0,0.0,0.0,127.0,9.0,111.0,7.0,0.0,111.25597566275533
Rumson,6835.0,1.0,0.0,0.0,0.0,1.0,26.0,3.0,13.0,10.0,0.0,79.00512070226775
Runnemede,8261.0,7.0,0.0,0.0,2.0,5.0,208.0,53.0,147.0,8.0,2.0,522.9391114877134
Rutherford,18617.0,19.0,0.0,1.0,3.0,15.0,164.0,22.0,132.0,10.0,0.0,196.59451039372618
Saddle Brook Township,14037.0,1.0,0.0,0.0,0.0,1.0,192.0,2.0,187.0,3.0,0.0,274.98753294863576
Saddle River,3230.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,17.0,8.0,0.0,179.56656346749224
Salem,4726.0,43.0,2.0,2.0,9.0,30.0,221.0,75.0,129.0,17.0,11.0,1140.4993652137114
Sayreville,45062.0,44.0,0.0,3.0,6.0,35.0,301.0,31.0,236.0,34.0,3.0,153.7881141538325
Scotch Plains Township,24423.0,10.0,0.0,1.0,2.0,7.0,171.0,36.0,127.0,8.0,0.0,148.2209392785489
Sea Bright,1379.0,2.0,0.0,1.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0,101.5228426395939
Sea Girt,1766.0,4.0,0.0,0.0,2.0,2.0,32.0,2.0,24.0,6.0,0.0,407.7010192525481
Sea Isle City,2061.0,3.0,0.0,0.0,3.0,0.0,103.0,23.0,80.0,0.0,0.0,1028.6268801552644
Seaside Heights,2872.0,26.0,1.0,1.0,6.0,18.0,215.0,38.0,173.0,4.0,0.0,1678.2729805013926
Seaside Park,1526.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,25.0,0.0,0.0,340.76015727391876
Secaucus,20482.0,30.0,0.0,0.0,14.0,16.0,526.0,32.0,473.0,21.0,0.0,542.9157308856556
Ship Bottom,1129.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,19.0,0.0,0.0,407.4402125775022
Shrewsbury,4170.0,1.0,0.0,0.0,0.0,1.0,85.0,10.0,72.0,3.0,0.0,412.47002398081537
Somerdale,5484.0,13.0,0.0,0.0,6.0,7.0,175.0,32.0,138.0,5.0,0.0,685.6309263311451
Somers Point,10436.0,14.0,0.0,3.0,6.0,5.0,246.0,30.0,209.0,7.0,0.0,498.2752012265236
Somerville,12326.0,16.0,0.0,2.0,5.0,9.0,131.0,24.0,101.0,6.0,0.0,238.52020120071396
South Amboy,8764.0,6.0,0.0,0.0,1.0,5.0,97.0,19.0,68.0,10.0,1.0,236.19351894112276
South Bound Brook,4621.0,4.0,0.0,2.0,1.0,1.0,28.0,5.0,21.0,2.0,0.0,138.4981605713049
South Brunswick Township,46340.0,23.0,0.0,5.0,7.0,11.0,276.0,46.0,219.0,11.0,1.0,129.26197669400085
South Hackensack Township,2473.0,6.0,1.0,0.0,3.0,2.0,63.0,6.0,51.0,6.0,0.0,558.0266882329155
South Harrison Township,3118.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,8.0,2.0,0.0,83.38678640153944
South Orange Village,16880.0,22.0,0.0,0.0,10.0,12.0,293.0,38.0,229.0,26.0,0.0,373.22274881516586
South Plainfield,24238.0,23.0,0.0,0.0,5.0,18.0,397.0,34.0,339.0,24.0,1.0,346.97582308771354
South River,16159.0,19.0,0.0,3.0,2.0,14.0,122.0,16.0,102.0,4.0,2.0,175.7534500897333
South Toms River,3740.0,7.0,0.0,0.0,1.0,6.0,43.0,5.0,35.0,3.0,0.0,267.379679144385
Sparta Township,18694.0,5.0,0.0,0.0,1.0,4.0,54.0,6.0,41.0,7.0,0.0,63.12185728041083
Spotswood,8364.0,1.0,0.0,0.0,0.0,1.0,61.0,7.0,53.0,1.0,0.0,148.2544237207078
"Springfield Township, Burlington County",3280.0,1.0,0.0,0.0,1.0,0.0,26.0,5.0,19.0,2.0,1.0,167.6829268292683
"Springfield Township, Union County",17762.0,4.0,0.0,0.0,1.0,3.0,144.0,22.0,113.0,9.0,0.0,166.64790001126002
Spring Lake,2958.0,0.0,0.0,0.0,0.0,0.0,41.0,4.0,35.0,2.0,0.0,277.21433400946586
Spring Lake Heights,4607.0,1.0,0.0,0.0,1.0,0.0,17.0,1.0,11.0,5.0,0.0,78.14195789016715
Stafford Township,27141.0,15.0,0.0,1.0,1.0,13.0,183.0,13.0,162.0,8.0,1.0,146.27316605873034
Stanhope,3306.0,2.0,0.0,0.0,1.0,1.0,18.0,0.0,17.0,1.0,0.0,120.99213551119178
Stone Harbor,816.0,0.0,0.0,0.0,0.0,0.0,63.0,8.0,54.0,1.0,0.0,1544.1176470588236
Stratford,6913.0,6.0,0.0,1.0,3.0,2.0,77.0,11.0,65.0,1.0,0.0,240.12729639809058
Summit,22125.0,7.0,0.0,2.0,5.0,0.0,143.0,9.0,120.0,14.0,0.0,135.59322033898306
Surf City,1174.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,0.0,0.0,204.42930153321976
Swedesboro,2557.0,1.0,0.0,0.0,1.0,0.0,14.0,1.0,12.0,1.0,0.0,117.32499022291749
Tavistock,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4000.0
Teaneck Township,40939.0,45.0,0.0,10.0,13.0,22.0,419.0,79.0,322.0,18.0,2.0,227.16724883363054
Tenafly,14742.0,4.0,0.0,0.0,1.0,3.0,37.0,9.0,21.0,7.0,0.0,55.62338895672229
Teterboro,68.0,1.0,0.0,0.0,0.0,1.0,137.0,0.0,132.0,5.0,0.0,40588.23529411764
Tewksbury Township,5825.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,8.0,1.0,0.0,41.201716738197426
Tinton Falls,17754.0,5.0,0.0,0.0,1.0,4.0,182.0,15.0,164.0,3.0,0.0,210.65675340768277
Toms River Township,92191.0,55.0,1.0,19.0,10.0,25.0,1317.0,171.0,1112.0,34.0,1.0,297.75140740419346
Totowa,10666.0,12.0,1.0,1.0,0.0,10.0,219.0,12.0,198.0,9.0,0.0,433.15207200450027
Trenton,83753.0,973.0,16.0,40.0,342.0,575.0,2467.0,772.0,1318.0,377.0,14.0,823.1346936826144
Tuckerton,3336.0,1.0,0.0,0.0,0.0,1.0,36.0,14.0,21.0,1.0,0.0,221.82254196642685
Union Beach,5469.0,7.0,0.0,1.0,0.0,6.0,24.0,2.0,20.0,2.0,0.0,113.36624611446335
Union City,69950.0,233.0,2.0,0.0,76.0,155.0,1078.0,95.0,894.0,89.0,0.0,374.8391708363116
Union Township,58861.0,45.0,0.0,1.0,24.0,20.0,954.0,96.0,767.0,91.0,1.0,339.61366609469763
Upper Saddle River,8330.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,15.0,9.0,0.0,60.02400960384154
Ventnor City,10182.0,17.0,3.0,0.0,5.0,9.0,259.0,54.0,199.0,6.0,1.0,543.1153015124729
Vernon Township,22057.0,1.0,0.0,0.0,0.0,1.0,100.0,12.0,82.0,6.0,0.0,91.5809040213991
Verona,13437.0,0.0,0.0,0.0,0.0,0.0,89.0,15.0,68.0,6.0,0.0,132.47004539703804
Vineland,60330.0,258.0,1.0,22.0,59.0,176.0,2021.0,399.0,1564.0,58.0,9.0,757.0031493452676
Voorhees Township,29071.0,42.0,0.0,12.0,10.0,20.0,375.0,35.0,322.0,18.0,1.0,287.2278215403667
Waldwick,10019.0,2.0,0.0,0.0,0.0,2.0,47.0,8.0,34.0,5.0,0.0,97.81415310909273
Wallington,11676.0,5.0,0.0,0.0,2.0,3.0,120.0,8.0,108.0,4.0,0.0,214.11442274751627
Wall Township,25955.0,6.0,0.0,0.0,0.0,6.0,262.0,36.0,225.0,1.0,0.0,206.51126950491232
Wanaque,11960.0,11.0,0.0,0.0,2.0,9.0,71.0,1.0,70.0,0.0,0.0,137.12374581939798
Warren Township,15951.0,3.0,0.0,1.0,1.0,1.0,52.0,10.0,28.0,14.0,0.0,68.96119365557018
Washington,6535.0,4.0,0.0,0.0,0.0,4.0,47.0,19.0,28.0,0.0,0.0,156.08263198163735
"Washington Township, Bergen County",9299.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,20.0,3.0,0.0,62.37229809656952
"Washington Township, Gloucester County",47024.0,66.0,1.0,1.0,10.0,54.0,554.0,73.0,463.0,18.0,0.0,263.6951343994556
"Washington Township, Morris County",18484.0,7.0,0.0,3.0,0.0,4.0,50.0,6.0,39.0,5.0,0.0,61.67496212940922
"Washington Township, Warren County",6434.0,2.0,0.0,1.0,0.0,1.0,50.0,9.0,39.0,2.0,0.0,161.6412806963009
Watchung,5939.0,1.0,0.0,0.0,1.0,0.0,395.0,17.0,374.0,4.0,0.0,1333.5578380198688
Waterford Township,10641.0,7.0,0.0,1.0,1.0,5.0,64.0,9.0,51.0,4.0,0.0,133.44610468940888
Wayne Township,54340.0,64.0,0.0,0.0,13.0,51.0,986.0,75.0,875.0,36.0,5.0,387.37578211262417
Weehawken Township,15567.0,23.0,0.0,0.0,7.0,16.0,223.0,24.0,182.0,17.0,0.0,316.0531894391983
Wenonah,2201.0,3.0,0.0,0.0,0.0,3.0,13.0,7.0,4.0,2.0,0.0,145.3884597910041
Westampton Township,8752.0,18.0,0.0,7.0,6.0,5.0,144.0,27.0,109.0,8.0,1.0,371.3436928702011
West Amwell Township,2757.0,2.0,0.0,1.0,0.0,1.0,16.0,7.0,9.0,0.0,0.0,130.57671381936888
West Caldwell Township,10912.0,2.0,0.0,0.0,0.0,2.0,68.0,5.0,57.0,6.0,0.0,128.29912023460412
